시점,계,계,경기도,경기도,강원도,강원도,충청남도,충청남도,전라북도,전라북도,전라남도,전라남도,경상북도,경상북도,경상남도,경상남도,제주도,제주도
시점,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어
2005.09,101732,7771,1048,-,9238,18,10378,8,3687,3,12929,153,11371,173,21633,571,5729,333
2005.1,143849,22429,979,-,5038,86,6490,0,3583,2,17313,787,24884,354,28415,1922,5216,180
2005.11,127139,34763,754,-,5312,19,5366,0,2451,0,16172,742,14203,87,22630,4096,6449,494
2005.12,109788,9811,662,-,9516,2,3083,0,632,0,12165,225,15771,61,23144,274,3151,93
2006.01,108311,12207,402,-,2524,0,3738,1,1153,2,14123,39,10973,1,29091,717,4024,58
2006.02,69266,2309,208,-,3927,0,2518,0,1190,-,8109,42,4486,6,24412,74,5031,22
2006.03,69296,3700,210,-,2687,-,4377,0,1205,0,7856,45,5919,1,24697,41,3923,26
2006.04,45604,1688,183,-,2589,-,3941,-,1817,4,6617,6,4517,6,11796,14,3178,78
2006.05,59714,2462,392,-,3503,-,6204,-,3194,0,11012,11,5861,6,11398,161,4526,128
2006.06,67750,2146,349,-,4698,0,4083,-,3458,-,17769,1,6077,15,9984,20,7639,104
2006.07,71625,1061,266,-,3071,0,8564,-,3368,-,16968,2,4182,34,21379,17,2754,63
2006.08,95152,4949,404,-,2958,9,9049,-,2552,1,14464,338,5372,39,31942,76,6905,138
2006.09,117636,14995,523,-,8622,77,10050,149,3305,4,18100,302,13634,125,23298,1690,4605,238
2006.1,144538,15408,521,-,5696,48,7180,46,2635,0,20652,77,21664,214,24984,773,5539,161
2006.11,120009,19419,920,-,5974,41,5654,386,2388,1,19779,350,16293,125,19738,1971,5523,236
2006.12,139914,21083,774,-,7229,1,4076,0,2308,4,17445,307,20271,8,24660,1365,5646,405
2007.01,114612,8991,605,-,5302,0,3645,-,1795,1,14062,14,14366,15,28761,121,3431,120
