시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
2002.06,147478238,10274845,4250999,-,2238065,-,6700020,1112,545921,4703724,513817,6936682,97,304603,141000,8981939
2002.07,176922095,14706677,14278642,-,845244,-,40235064,466,372230,1069319,598885,5088021,-,263255,13885,18656378
2002.08,197522062,25119220,17773334,-,17228,-,42811361,63672,439726,1355803,726091,969873,500,187503,45294,28124465
2002.09,276884085,24840452,18218300,-,742,-,52153943,45774,346265,1421773,1470379,689679,-,445582,34371,46218032
2002.10,338326251,21963941,14861949,-,38498,-,50837515,49715,1298415,2011840,3632323,1807616,-,859736,5732,74453008
2002.11,289639314,20388195,39123722,-,693824,-,29209549,12205,1158798,2699444,9198827,651558,143,1054788,11549,37023837
2002.12,232623939,20506231,23700368,-,320466,-,25491866,88021,1061144,3438799,8675120,801801,-,538152,231149,39350470
2003.01,182885332,12538925,11390732,-,223600,-,17324801,690373,841692,4316488,6816922,1173641,84,842049,778111,19351605
2003.02,113100121,4969945,5155303,-,4175,-,9600656,605729,254489,2129022,3634176,492128,42,342637,478836,2774907
2003.03,147951820,6754161,5225046,-,30840,-,15473115,248855,127272,1653606,2133682,1125978,238,303050,479679,2651669
2003.04,175932887,7539636,5561200,-,94931,-,4678796,20711,265733,1062126,2049387,1408773,10850,262576,290834,3408925
2003.05,188235166,9768007,4591751,-,878419,-,10844831,7623,1084330,3971376,859119,1060793,-,351786,266838,6207611
2003.06,167039967,11266873,9167985,-,955544,-,10581010,1141,366566,5036835,165050,1953490,272,202690,310537,7979247
2003.07,162536149,21047709,12299400,-,2088,-,25444779,3553,440566,1776807,366396,1611172,-,271390,103793,12896877
2003.08,182698730,23209640,15627806,-,691,-,24052647,7336,496874,1372623,1052244,1337022,15,694822,29413,31806066
2003.09,224424791,27660780,14642925,-,1811,-,16302433,29149,890708,3018139,1650917,955759,374,1191714,87968,57296285
2003.10,320565026,24554249,16382751,-,6936,-,26288779,6491,1786978,3711808,2408627,1665029,33,1675448,20983,116107957
2003.11,274738607,27072399,37918162,-,99119,-,15007735,1748,1659881,3591015,5196631,1693096,17,1393117,144332,48070615
2003.12,265702009,24025759,19942973,-,320483,-,11001915,2938,1874443,4676963,11893751,1548051,3606,1175701,104021,64424891
2004.01,203127987,20608296,10253693,-,41972,-,9073850,152297,920732,5182443,5796070,1064987,921,925532,520220,36855411
2004.02,149473699,8010928,8320549,-,3331,-,9261484,188808,549935,5484922,8264898,836281,20477,565900,488749,14091990
2004.03,158108094,10452600,7755021,-,62411,-,10189438,108622,248415,3466312,3752319,994992,5794,353287,146502,5436889
2004.04,165499397,6287696,3359761,-,255932,-,4263973,13461,445515,2375856,2731870,1934071,20424,327129,312071,2217048
2004.05,160594510,5569847,8131938,-,1332586,-,5729706,2614,938970,3850928,1177393,3117236,3016,340226,954867,5130392
2004.06,156083089,8495221,5592791,-,1272186,-,8719534,1523,358280,9840817,426350,5156019,1025,320134,518267,13462811
2004.07,157530741,11730062,7087021,-,240047,-,17643729,1163,266656,3639017,967679,4898459,678,331419,225996,23120545
2004.08,183604193,20090795,15150806,-,596,-,22444098,587,628739,1075216,1602543,1960154,3867,695007,53229,37163107
2004.09,276223627,22702759,29499966,-,7442,-,29988814,2635,1555489,1102336,3585677,1372435,548,1359438,39140,70291879
2004.10,360641681,26107369,47632826,-,58799,-,20620324,533,3562332,2117242,6702720,1048661,899,1945304,24414,100845774
2004.11,330536519,32670774,59910274,-,641227,-,15236036,1479,2381076,2892437,8859517,1187535,1013,2034106,152258,51686420
2004.12,308293557,21912219,31160922,-,556678,-,14523974,3782,891570,3370773,12143739,935355,44153,1434451,619420,82889209
2005.01,223409491,19944266,14972521,-,32154,-,14312163,8227,629236,3892444,10282538,2758906,20555,692041,448387,36382698
2005.02,131218483,13743957,4724663,-,3028,-,10439924,126458,75528,2155749,6428417,1359382,-,426286,924276,7401829
2005.03,174661586,9270891,7190639,-,16509,-,28366753,10242,420621,1837862,6080988,1323585,7,431950,578828,6320420
2005.04,178166567,11982267,5124746,-,559234,-,9673329,550,200696,1872998,3157142,2475682,4072,350761,819762,3100999
2005.05,203268034,11501871,3251075,-,2123305,-,17421447,217,544451,11162067,2255425,800230,-,706747,1211531,9349779
2005.06,206169364,14717003,12863005,-,2040473,-,18055128,100,590764,12936460,152407,6866098,-,551251,775980,15129464
2005.07,201336372,21413097,12492585,-,105806,-,51515508,15,342916,3515739,280354,2038433,-,415192,364489,22800618
2005.08,222853256,29516196,15155641,-,1335,-,39538173,950,814291,1673753,1429297,1941319,-,175119,166162,35421901
2005.09,260957405,30317872,10097626,-,24794,-,31209316,123,542376,3371399,2992175,2237211,-,369616,85154,55151596
2005.10,338717496,21670978,29838606,-,189713,-,34856559,732,1869581,4641530,6333391,2402139,-,1902345,313737,91755774
2005.11,311674476,27563320,41544196,-,333820,-,17753684,490,1243924,7119959,8629186,1408803,-,2055913,134794,54854095
2005.12,253522311,13362584,10126627,-,348351,-,13630915,57824,1026709,3458722,11984973,1183952,125,679954,1104959,68279818
2006.01,233414664,13618856,11502349,-,90246,-,23136406,10513,733773,4589005,7173255,2090498,56,344266,505273,41976270
2006.02,143693157,5383063,3366115,-,18442,-,17147270,23891,1857894,2719004,4840639,1186778,-,245283,520232,9258671
2006.03,167768269,10128668,5836710,-,22199,-,14640413,22884,359116,3078803,6513430,913815,-,453861,1299863,2258481
2006.04,163947147,9046768,2383257,-,50792,-,5255128,1389,315778,3475637,3127080,595421,153,275053,570136,2052190
2006.05,211697974,9735775,4760257,-,505226,-,8254392,834,676177,14007265,2048297,1061285,3,407097,1304525,7728047
2006.06,212392571,12912017,6230966,-,315619,-,14402407,956,429398,20855531,265129,3082202,-,396187,1209118,12274343
2006.07,165738625,13256630,2923215,-,60289,-,40023985,720,139091,3525052,731752,889026,-,446888,624860,17009383
2006.08,205625872,30314456,8307074,-,596,-,30640098,162,450830,2175493,1455261,963671,8,520250,426562,36844092
2006.09,316996207,28630609,31369362,-,29642,-,38052417,72482,699009,2310194,3364421,679351,76,240663,57647,58077513
2006.10,336565633,24331817,20435792,-,66568,-,48289188,415,1481824,3515733,3881043,1283231,-,716298,64829,70789883
2006.11,289693241,23176421,24852858,-,126062,-,21025998,3194,1175157,4149285,5261691,825616,-,1360632,698128,41266550
2006.12,303718038,18076338,25849380,-,149170,-,14018438,1400,2276473,3816463,11857864,883102,-,1941367,338114,49082940
2007.01,253063120,17081716,16182413,-,43903,-,16705791,3768,1557188,3009529,8691376,904221,6056,385505,1006523,34665357
2007.02,176239206,10866722,7891610,-,36511,-,10058654,48704,302509,1939183,6503455,637484,1686,324993,393733,13980438
2007.03,187685322,5509942,10723347,-,72740,-,9042761,7023,600658,1800631,4206049,538594,4056,536610,2146886,6321705
2007.04,219211173,14510393,11976815,-,312958,-,5857235,1376,529399,2232360,5550998,1632734,37550,285094,1859045,5239940
2007.05,208009618,13775586,2084098,-,1532062,-,8949840,106,709788,8895801,1633507,165118,-,367281,2218945,5048976
2007.06,205966297,16007197,8626439,-,2074930,-,9184646,476,319990,15857314,179491,3458832,555,590052,2037806,9062590
2007.07,193994328,22576064,8362453,-,159858,-,30182618,50,399027,4246816,598613,2263754,5,776010,1274208,13684699
2007.08,208829558,31957416,10089166,-,19337,-,26475583,27,720201,2532349,1733602,2799852,141,2551169,574044,17861802
2007.09,254733414,25735259,16596146,-,35708,-,25055472,1012,597885,3283015,1940461,1352939,-,4814889,286719,20138881
2007.10,377644245,19601871,20694925,-,278059,-,46859267,255,2212929,3487405,3946905,1113447,-,6077587,274759,58328415
2007.11,342487414,28733097,42842311,-,307230,-,17160241,414,1958860,4094444,6127177,763883,1096,4863835,673849,34511625
2007.12,311245788,21974552,23243905,-,268677,-,27728277,2755,2445936,3509832,13953675,736777,1791,2948463,1689160,44618190
2008.01,247908923,19848491,14472518,529439,94072,-,24699849,1884,2784921,3440975,11284235,999083,-,2622957,834681,28202313
2008.02,153664873,8929088,3682745,19758,83552,-,9734211,1250,272410,2993367,6935275,157327,87,408436,897241,7451553
2008.03,214340380,16098631,6769613,89573,14640,-,14076833,4527,266840,2747085,11015795,292811,140,518021,3477065,3174572
